Group,Species,Individual,proboscisLength,bodyLength,proboscisBodyRatio,wingLength,wingArea,aspectRatio,lightness,contrast,OBS,,,
Erebidae: Arctiinae,Cosmosoma_saron_1124,EcEs-Lep-00185,7.37,9.95,0.74,13.1,58.23,2.95,109,122,,,,
Erebidae: Arctiinae,Cosmosoma_saron_1124,EcEs-Lep-00406,7,9.6,0.73,13,57.29,2.95,103,134,,,,
Erebidae: Arctiinae,Cosmosoma_sp_786,EcEs-Lep-00248,7.44,8.95,0.83,9.96,34.66,2.86,146,123,,,,
Erebidae: Arctiinae,Cosmosoma_sp_786,EcEs-Lep-00285,7.96,10.16,0.78,11.39,42.48,3.05,117,143,,,,
Erebidae: Arctiinae,Cosmosoma_sp_788,EcEs-Lep-00676,6.01,10.46,0.57,12.28,49.13,3.07,154,109,,,,
Erebidae: Arctiinae,Cosmosoma_sp_788,EcEs-Lep-01140,7.74,9.01,0.86,10.83,40.1,2.93,145,112,PL: average from all measured Cosmosomas,,,
Erebidae: Arctiinae,Cosmosoma_sp_789,EcEs-Lep-00814,7.74,10.13,0.76,13.11,61.1,2.81,109,107,PL: average from all measured Cosmosomas,,,
Erebidae: Arctiinae,Cosmosoma_sp_789,EcEs-Lep-08536,7.74,11.15,0.69,15.03,75.05,3.01,160,95,PL: average from all measured Cosmosomas,,,
Erebidae: Arctiinae,Cosmosoma_sp_790,EcEs-Lep-00816,7.74,7.93,0.98,11.82,45.17,3.09,151,110,PL: average from all measured Cosmosomas,,,
Erebidae: Arctiinae,Cosmosoma_sp_790,EcEs-Lep-01156,7.74,9.01,0.86,13.25,61.87,2.84,141,122,PL: average from all measured Cosmosomas,,,
Erebidae: Arctiinae,Cosmosoma_sp_791,EcEs-Lep-00818,7.74,9.74,0.79,12.57,49.76,3.17,140,97,PL: average from all measured Cosmosomas,,,
Erebidae: Arctiinae,Cosmosoma_sp_792,EcEs-Lep-00140,5.25,8.79,0.6,12.32,49.2,3.08,176,86,,,,
Erebidae: Arctiinae,Cosmosoma_subflamma_304,EcEs-Lep-01132,11.4,14.45,0.79,17.97,117.14,2.76,80,133,,,,
Erebidae: Arctiinae,Cosmosoma_subflamma_304,EcEs-Lep-05432,NA,13.31,NA,16.43,98.31,2.75,111,112,,,,
Erebidae: Arctiinae,Cratoplastis_diluta_gr_682,EcEs-Lep-00283,10.03,17.01,0.59,17.96,139.27,2.32,110,52,,,,
Erebidae: Arctiinae,Cratoplastis_diluta_gr_682,EcEs-Lep-00705,9.14,16.47,0.55,21.22,194.31,2.32,106,42,,,,
Erebidae: Arctiinae,Cresera_annulata_921,EcEs-Lep-00377,9.65,15.85,0.61,20.55,182.55,2.31,106,77,,,,
Erebidae: Arctiinae,Delphyre_nr_flaviceps_1268,EcEs-Lep-00099,10.18,14.38,0.71,17.97,155.79,2.07,100,68,,,,
Erebidae: Arctiinae,Delphyre_nr_flaviceps_1268,EcEs-Lep-00121,9.96,13.94,0.71,17.87,152.81,2.09,96,60,,,,
Erebidae: Arctiinae,Delphyre_nr_flaviceps_1268,EcEs-Lep-04552,NA,19.77,NA,16.73,124.31,2.25,85,51,,,,
Erebidae: Arctiinae,Dolichesia_cf_falsimonia_885,EcEs-Lep-00550,NA,5.61,NA,8.61,40.82,1.82,134,27,,,,
Erebidae: Arctiinae,Dolichesia_cf_falsimonia_885,EcEs-Lep-01150,NA,7.23,NA,8.53,42.31,1.72,134,33,,,,
Erebidae: Arctiinae,Dolichesia_cf_falsimonia_885,EcEs-Lep-02175,NA,7.96,NA,8.53,39.76,1.83,150,38,,,,
