"Census","Plot","Treatment","Date","Morphotype","Total","Genus","plant_species","Source","DispersalSyndrome","DS_level","DS_source"
2,"CR10","D","04/08/22","M12",15,NA,NA,"vsearch.viri.class",NA,NA,NA
2,"CR10","FD","04/08/22","M12",10,NA,NA,"vsearch.viri.class",NA,NA,NA
2,"CR11","C","04/08/22","M37",10,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
2,"CR11","CF","04/08/22","M37",11,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
2,"CR11","D","04/08/22","M12",12,NA,NA,"vsearch.viri.class",NA,NA,NA
2,"CR11","D","04/08/22","M37",4,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
2,"CR11","D","04/08/22","M59",2,"Cecropia","Cecropia_garciae","blast.sebas.class","zoochory","species","field_observation"
2,"CR11","FD","04/08/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CR11","FD","04/08/22","M12",2,NA,NA,"vsearch.viri.class",NA,NA,NA
2,"CR11","FD","04/08/22","M37",2,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
2,"PR31","CF","04/08/22","M37",6,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
